 Acid-Spewer Dragon;$0.19
 Aerie Bowmasters;$0.15
 Ainok Artillerist;$0.14
 Ainok Survivalist;$0.20
 Ambuscade Shaman;$0.20
 Anafenza, Kin-Tree Spirit;$1.45
 Ancestral Statue;$0.15
 Ancient Carp;$0.15
 Anticipate;$0.18
 Arashin Foremost;$0.49
 Arashin Sovereign;$0.33
 Artful Maneuver;$0.15
 Assault Formation;$1.13
 Atarka Beastbreaker;$0.15
 Atarka Efreet;$0.15
 Atarka Monument;$0.20
 Atarka Pummeler;$0.22
 Atarka's Command;$5.21
 Avatar of the Resolute;$0.95
 Aven Sunstriker;$0.20
 Aven Tactician;$0.15
 Battle Mastery;$0.20
 Belltoll Dragon;$0.20
 Berserkers' Onslaught;$0.35
 Blessed Reincarnation;$0.33
 Blood-Chin Fanatic;$0.36
 Blood-Chin Rager;$0.25
 Boltwing Marauder;$0.33
 Butcher's Glee;$0.15
 Center Soul;$0.14
 Champion of Arashin;$0.14
 Circle of Elders;$0.21
 Clone Legion;$1.04
 Coat with Venom;$0.15
 Collected Company;$9.50
 Colossodon Yearling;$0.14
 Commune with Lava;$0.37
 Conifer Strider;$0.14
 Contradict;$0.15
 Corpseweft;$0.31
 Crater Elemental;$0.33
 Cunning Breezedancer;$0.20
 Custodian of the Trove;$0.15
 Damnable Pact;$0.36
 Dance of the Skywise;$0.21
 Deadly Wanderings;$0.21
 Death Wind;$0.20
 Deathbringer Regent;$0.36
 Deathmist Raptor;$1.66
 Defeat;$0.14
 Den Protector;$1.56
 Descent of the Dragons;$1.89
 Dirgur Nemesis;$0.15
 Display of Dominance;$0.22
 Draconic Roar;$0.55
 Dragon Fodder;$0.16
 Dragon Hunter;$0.35
 Dragon Tempest;$1.09
 Dragon Whisperer;$1.12
 Dragon's Eye Sentry;$0.15
 Dragon-Scarred Bear;$0.16
 Dragonloft Idol;$0.20
 Dragonlord Atarka;$4.72
 Dragonlord Dromoka;$3.96
 Dragonlord Kolaghan;$2.45
 Dragonlord Ojutai;$3.63
 Dragonlord Silumgar;$3.59
 Dragonlord's Prerogative;$0.37
 Dragonlord's Servant;$0.45
 Dromoka Captain;$0.22
 Dromoka Dunecaster;$0.14
 Dromoka Monument;$0.20
 Dromoka Warrior;$0.14
 Dromoka's Command;$1.83
 Dromoka's Gift;$0.21
 Duress;$0.16
 Dutiful Attendant;$0.14
 Echoes of the Kin Tree;$0.22
 Elusive Spellfist;$0.15
 Encase in Ice;$0.23
 Enduring Scalelord;$0.21
 Enduring Victory;$0.14
 Epic Confrontation;$0.14
 Evolving Wilds;$0.16
 Explosive Vegetation;$1.08
 Fate Forgotten;$0.15
 Flatten;$0.15
 Foe-Razer Regent;$0.35
 Foul Renewal;$0.33
 Foul-Tongue Invocation;$0.32
 Foul-Tongue Shriek;$0.15
 Gate Smasher;$0.21
 Glade Watcher;$0.14
 Glaring Aegis;$0.15
 Gleam of Authority;$0.33
 Glint;$0.15
 Graceblade Artisan;$0.21
 Gravepurge;$0.15
 Great Teacher's Decree;$0.20
 Guardian Shield-Bearer;$0.15
 Gudul Lurker;$0.22
 Gurmag Drowner;$0.15
 Hand of Silumgar;$0.14
 Harbinger of the Hunt;$0.33
 Hardened Berserker;$0.15
 Haven of the Spirit Dragon;$1.12
 Hedonist's Trove;$0.33
 Herald of Dromoka;$0.15
 Herdchaser Dragon;$0.21
 Hidden Dragonslayer;$0.69
 Icefall Regent;$0.65
 Illusory Gains;$0.30
 Impact Tremors;$0.26
 Inspiring Call;$0.27
 Ire Shaman;$0.37
 Keeper of the Lens;$0.14
 Kindled Fury;$0.15
 Kolaghan Aspirant;$0.15
 Kolaghan Forerunners;$0.21
 Kolaghan Monument;$0.20
 Kolaghan Skirmisher;$0.15
 Kolaghan Stormsinger;$0.14
 Kolaghan's Command;$5.64
 Learn from the Past;$0.20
 Lightning Berserker;$0.37
 Lightwalker;$0.14
 Living Lore;$0.35
 Lose Calm;$0.14
 Lurking Arynx;$0.22
 Magmatic Chasm;$0.14
 Marang River Skeleton;$0.21
 Marsh Hulk;$0.14
 Mind Rot;$0.14
 Minister of Pain;$0.21
 Mirror Mockery;$0.45
 Misthoof Kirin;$0.14
 Monastery Loremaster;$0.15
 Mystic Meditation;$0.14
 Myth Realized;$0.47
 Narset Transcendent;$6.43
 Naturalize;$0.14
 Necromaster Dragon;$0.36
 Negate;$0.15
 Obscuring Aether;$0.34
 Ojutai Exemplars;$0.96
 Ojutai Interceptor;$0.15
 Ojutai Monument;$0.20
 Ojutai's Breath;$0.14
 Ojutai's Command;$1.33
 Ojutai's Summons;$0.14
 Orator of Ojutai;$0.23
 Pacifism;$0.14
 Palace Familiar;$0.14
 Pinion Feast;$0.15
 Pitiless Horde;$0.38
 Press the Advantage;$0.21
 Pristine Skywise;$0.35
 Profaner of the Dead;$0.37
 Profound Journey;$0.34
 Qal Sisma Behemoth;$0.21
 Qarsi Deceiver;$0.21
 Qarsi Sadist;$0.15
 Radiant Purge;$0.37
 Rakshasa Gravecaller;$0.20
 Reckless Imp;$0.14
 Reduce in Stature;$0.14
 Rending Volley;$0.74
 Resupply;$0.15
 Revealing Wind;$0.14
 Risen Executioner;$2.31
 Roast;$0.62
 Ruthless Deathfang;$0.23
 Sabertooth Outrider;$0.15
 Salt Road Ambushers;$0.21
 Salt Road Quartermasters;$0.21
 Sandcrafter Mage;$0.14
 Sandsteppe Scavenger;$0.14
 Sandstorm Charger;$0.15
 Sarkhan Unbroken;$3.84
 Sarkhan's Rage;$0.14
 Sarkhan's Triumph;$0.24
 Savage Ventmaw;$0.23
 Scale Blessing;$0.21
 Scaleguard Sentinels;$0.21
 Scion of Ugin;$0.20
 Screamreach Brawler;$0.14
 Secure the Wastes;$1.55
 Segmented Krotiq;$0.14
 Seismic Rupture;$0.24
 Self-Inflicted Wound;$0.40
 Servant of the Scale;$0.15
 Shaman of Forgotten Ways;$2.38
 Shambling Goblin;$0.14
 Shape the Sands;$0.15
 Sheltered Aerie;$0.15
 Shieldhide Dragon;$0.20
 Shorecrasher Elemental;$0.73
 Sibsig Icebreakers;$0.15
 Sidisi's Faithful;$0.15
 Sidisi, Undead Vizier;$2.55
 Sight Beyond Sight;$0.21
 Sight of the Scalelords;$0.21
 Silkwrap;$0.53
 Silumgar Assassin;$0.32
 Silumgar Butcher;$0.14
 Silumgar Monument;$0.20
 Silumgar Sorcerer;$0.24
 Silumgar Spell-Eater;$0.22
 Silumgar's Command;$0.50
 Silumgar's Scorn;$0.45
 Skywise Teachings;$0.21
 Spidersilk Net;$0.14
 Sprinting Warbrute;$0.14
 Stampeding Elk Herd;$0.14
 Stormcrag Elemental;$0.22
 Stormrider Rig;$0.20
 Stormwing Dragon;$0.21
 Stratus Dancer;$0.72
 Strongarm Monk;$0.20
 Student of Ojutai;$0.15
 Summit Prowler;$0.15
 Sunbringer's Touch;$0.33
 Sunscorch Regent;$0.67
 Surge of Righteousness;$0.40
 Surrak, the Hunt Caller;$0.44
 Swift Warkite;$0.20
 Taigam's Strike;$0.14
 Tail Slash;$0.14
 Tapestry of the Ages;$0.21
 Territorial Roc;$0.15
 Thunderbreak Regent;$1.16
 Tormenting Voice;$0.15
 Tread Upon;$0.15
 Twin Bolt;$0.16
 Ukud Cobra;$0.21
 Ultimate Price;$0.21
 Updraft Elemental;$0.14
 Vandalize;$0.15
 Vial of Dragonfire;$0.15
 Virulent Plague;$0.39
 Void Squall;$0.22
 Volcanic Rush;$0.14
 Volcanic Vision;$0.30
 Vulturous Aven;$0.14
 Wandering Tombshell;$0.14
 Warbringer;$0.23
 Youthful Scholar;$0.21
 Zephyr Scribe;$0.14
 Zurgo Bellstriker;$0.60
