 Abhorrent Overlord;$0.27
 Agent of Horizons;$0.14
 Agent of the Fates;$0.30
 Akroan Crusader;$0.14
 Akroan Hoplite;$0.16
 Akroan Horse;$0.25
 Anax and Cymede;$0.31
 Anger of the Gods;$2.61
 Annul;$0.14
 Anthousa, Setessan Hero;$0.24
 Anvilwrought Raptor;$0.17
 Aqueous Form;$0.15
 Arbor Colossus;$0.26
 Arena Athlete;$0.16
 Artisan of Forms;$0.28
 Artisan's Sorrow;$0.20
 Ashen Rider;$1.16
 Ashiok, Nightmare Weaver;$6.20
 Asphodel Wanderer;$0.14
 Baleful Eidolon;$0.14
 Battlewise Hoplite;$0.20
 Battlewise Valor;$0.14
 Benthic Giant;$0.15
 Bident of Thassa;$0.32
 Blood-Toll Harpy;$0.14
 Boon of Erebos;$0.15
 Boon Satyr;$0.35
 Borderland Minotaur;$0.14
 Boulderfall;$0.14
 Bow of Nylea;$1.84
 Breaching Hippocamp;$0.14
 Bronze Sable;$0.13
 Burnished Hart;$0.25
 Cavalry Pegasus;$0.14
 Cavern Lampad;$0.14
 Celestial Archon;$0.32
 Centaur Battlemaster;$0.19
 Chained to the Rocks;$0.39
 Chosen by Heliod;$0.14
 Chronicler of Heroes;$0.17
 Coastline Chimera;$0.14
 Colossus of Akros;$1.37
 Commune with the Gods;$0.15
 Coordinated Assault;$0.18
 Crackling Triton;$0.14
 Curse of the Swine;$0.30
 Cutthroat Maneuver;$0.15
 Dark Betrayal;$0.15
 Dauntless Onslaught;$0.15
 Daxos of Meletis;$0.32
 Deathbellow Raider;$0.14
 Decorated Griffin;$0.16
 Defend the Hearth;$0.14
 Demolish;$0.14
 Destructive Revelry;$0.25
 Disciple of Phenax;$0.15
 Dissolve;$0.52
 Divine Verdict;$0.14
 Dragon Mantle;$0.14
 Elspeth, Sun's Champion;$6.97
 Ember Swallower;$0.25
 Ephara's Warden;$0.14
 Erebos's Emissary;$0.15
 Erebos, God of the Dead;$6.63
 Evangel of Heliod;$0.18
 Fabled Hero;$0.47
 Fade into Antiquity;$0.14
 Fanatic of Mogis;$0.19
 Fate Foretold;$0.14
 Favored Hoplite;$0.22
 Felhide Minotaur;$0.07
 Feral Invocation;$0.14
 Firedrinker Satyr;$0.36
 Flamecast Wheel;$0.16
 Flamespeaker Adept;$0.16
 Fleecemane Lion;$0.90
 Fleetfeather Sandals;$0.14
 Fleshmad Steed;$0.13
 Gainsay;$0.16
 Gift of Immortality;$0.78
 Glare of Heresy;$0.21
 Gods Willing;$0.16
 Gray Merchant of Asphodel;$0.18
 Griptide;$0.14
 Guardians of Meletis;$0.14
 Hammer of Purphoros;$0.36
 Heliod's Emissary;$0.19
 Heliod, God of the Sun;$3.77
 Hero's Downfall;$1.95
 Hopeful Eidolon;$0.14
 Horizon Chimera;$0.16
 Horizon Scholar;$0.16
 Hundred-Handed One;$0.33
 Hunt the Hunter;$0.19
 Hythonia the Cruel;$0.71
 Ill-Tempered Cyclops;$0.14
 Insatiable Harpy;$0.15
 Karametra's Acolyte;$0.17
 Keepsake Gorgon;$0.16
 Kragma Warcaller;$0.17
 Labyrinth Champion;$0.31
 Lagonna-Band Elder;$0.14
 Lash of the Whip;$0.14
 Last Breath;$0.14
 Leafcrown Dryad;$0.14
 Leonin Snarecaster;$0.14
 Lightning Strike;$0.14
 Loathsome Catoblepas;$0.14
 Lost in a Labyrinth;$0.14
 Magma Jet;$0.20
 March of the Returned;$0.14
 Master of Waves;$3.59
 Medomai the Ageless;$0.88
 Meletis Charlatan;$0.25
 Messenger's Speed;$0.14
 Minotaur Skullcleaver;$0.15
 Mistcutter Hydra;$0.50
 Mnemonic Wall;$0.13
 Mogis's Marauder;$0.15
 Nemesis of Mortals;$0.15
 Nessian Asp;$0.13
 Nessian Courser;$0.14
 Nighthowler;$0.30
 Nimbus Naiad;$0.14
 Nykthos, Shrine to Nyx;$5.88
 Nylea's Disciple;$0.14
 Nylea's Emissary;$0.16
 Nylea's Presence;$0.13
 Nylea, God of the Hunt;$4.99
 Observant Alseid;$0.14
 Omenspeaker;$0.14
 Opaline Unicorn;$0.14
 Ordeal of Erebos;$0.17
 Ordeal of Heliod;$0.21
 Ordeal of Nylea;$0.17
 Ordeal of Purphoros;$0.15
 Ordeal of Thassa;$0.17
 Peak Eruption;$0.17
 Phalanx Leader;$0.21
 Pharika's Cure;$0.14
 Pharika's Mender;$0.15
 Pheres-Band Centaurs;$0.14
 Polis Crusher;$0.25
 Polukranos, World Eater;$1.02
 Portent of Betrayal;$0.14
 Prescient Chimera;$0.14
 Priest of Iroas;$0.14
 Prognostic Sphinx;$0.31
 Prophet of Kruphix;$1.22
 Prowler's Helm;$0.15
 Psychic Intrusion;$0.25
 Purphoros's Emissary;$0.16
 Purphoros, God of the Forge;$8.69
 Pyxis of Pandemonium;$0.25
 Rage of Purphoros;$0.14
 Rageblood Shaman;$0.35
 Ray of Dissolution;$0.14
 Read the Bones;$0.15
 Reaper of the Wilds;$0.35
 Rescue from the Underworld;$0.17
 Returned Centaur;$0.14
 Returned Phalanx;$0.14
 Reverent Hunter;$0.29
 Satyr Hedonist;$0.15
 Satyr Piper;$0.15
 Satyr Rambler;$0.14
 Savage Surge;$0.14
 Scholar of Athreos;$0.14
 Scourgemark;$0.14
 Sea God's Revenge;$0.15
 Sealock Monster;$0.15
 Sedge Scorpion;$0.15
 Sentry of the Underworld;$0.19
 Setessan Battle Priest;$0.14
 Setessan Griffin;$0.14
 Shipbreaker Kraken;$0.25
 Shipwreck Singer;$0.19
 Shredding Winds;$0.14
 Silent Artisan;$0.14
 Sip of Hemlock;$0.14
 Soldier of the Pantheon;$0.40
 Spark Jolt;$0.14
 Spear of Heliod;$0.64
 Spearpoint Oread;$0.14
 Spellheart Chimera;$0.20
 Staunch-Hearted Warrior;$0.14
 Steam Augury;$0.26
 Stoneshock Giant;$0.16
 Stormbreath Dragon;$2.14
 Stymied Hopes;$0.14
 Swan Song;$1.11
 Sylvan Caryatid;$2.06
 Temple of Abandon;$0.75
 Temple of Deceit;$1.81
 Temple of Mystery;$1.00
 Temple of Silence;$1.49
 Temple of Triumph;$0.95
 Thassa's Bounty;$0.14
 Thassa's Emissary;$0.16
 Thassa, God of the Sea;$5.40
 Thoughtseize;$13.12
 Time to Feed;$0.14
 Titan of Eternal Fire;$0.25
 Titan's Strength;$0.17
 Tormented Hero;$0.15
 Traveler's Amulet;$0.14
 Traveling Philosopher;$0.14
 Triad of Fates;$0.29
 Triton Fortune Hunter;$0.15
 Triton Shorethief;$0.14
 Triton Tactics;$0.16
 Two-Headed Cerberus;$0.14
 Tymaret, the Murder King;$0.26
 Underworld Cerberus;$0.74
 Unknown Shores;$0.14
 Vanquish the Foul;$0.20
 Vaporkin;$0.14
 Viper's Kiss;$0.14
 Voyage's End;$0.14
 Voyaging Satyr;$0.15
 Vulpine Goliath;$0.14
 Warriors' Lesson;$0.16
 Wavecrash Triton;$0.14
 Whip of Erebos;$1.74
 Wild Celebrants;$0.14
 Wingsteed Rider;$0.13
 Witches' Eye;$0.16
 Xenagos, the Reveler;$4.54
 Yoked Ox;$0.14
